classification,cell_no,responder_id,question,adjusted_value,selection_data,cont_ratio,region,trim,period,a_weight,g_weight,l_value,sum_adjusted_value,sum_selection_data,ratio_val,winsFitted,K_Value
6171000,115,159,688,123,563,0.218,11,N,201809,4.287,1.83,193,123,563,0.2184724689,122.9999999907,151.1948983211
6171000,115,159,689,1,563,0.002,11,N,201809,4.287,1.83,89,1,563,0.0017761989,0.9999999807,14.001792475
6171000,115,159,695,8,563,0.014,11,N,201809,4.287,1.83,39,8,563,0.0142095915,8.0000000145,13.697414703
6171000,115,159,696,0,563,0,11,N,201809,4.287,1.83,3,0,563,0,0,0.4382626683
6171000,115,159,703,0,563,0,11,N,201809,4.287,1.83,12,0,563,0,0,1.7530506734
6171000,115,159,704,7,563,0.012,11,N,201809,4.287,1.83,2,7,563,0.0124333925,6.9999999775,7.2921750897
6171000,115,159,707,69,563,0.123,11,N,201809,4.287,1.83,3,69,563,0.1225577265,69.0000000195,69.4382626878
6171000,115,159,708,0,563,0,11,N,201809,4.287,1.83,10000,0,563,0,0,1460.8755611588
6171000,115,159,709,4,563,0.007,11,N,201809,4.287,1.83,10,4,563,0.0071047957,3.9999999791,5.4608755403
6171000,115,159,710,9000,563,15.986,11,N,201809,4.287,1.83,1,9000,563,15.9857904085,8999.9999999855,9000.1460875416
6171000,115,159,711,87542,563,155.492,11,N,201809,4.287,1.83,31,87542,563,155.4920071048,87542.0000000024,87546.528714242
6171000,115,159,712,90,563,0.16,11,N,201809,4.287,1.83,12,90,563,0.1598579041,90.0000000083,91.7530506817
6171000,115,159,688,123,563,0.218,11,N,201812,2.875,1.127,193,123,563,0.2184724689,122.9999999907,209.1559064691
6171000,115,159,689,1,563,0.002,11,N,201812,2.875,1.127,89,1,563,0.0017761989,0.9999999807,40.7299257661
6171000,115,159,695,0,563,0.014,11,N,201812,2.875,1.127,39,0,563,0,0,17.4097427599
6171000,115,159,696,0,563,0,11,N,201812,2.875,1.127,3,0,563,0,0,1.3392109815
6171000,115,159,703,0,563,0,11,N,201812,2.875,1.127,12,0,563,0,0,5.3568439261
6171000,115,159,704,7,563,0.012,11,N,201812,2.875,1.127,2,7,563,0.0124333925,6.9999999775,7.8928072985
6171000,115,159,707,69,563,0.123,11,N,201812,2.875,1.127,3,69,563,0.1225577265,69.0000000195,70.339211001
6171000,115,159,708,0,563,0,11,N,201812,2.875,1.127,10000,0,563,0,0,4464.0366051002
6171000,115,159,709,4,563,0.007,11,N,201812,2.875,1.127,10,4,563,0.0071047957,3.9999999791,8.4640365842
6171000,115,159,710,9000,563,15.986,11,N,201812,2.875,1.127,1,9000,563,15.9857904085,8999.9999999855,9000.446403646
6171000,115,159,711,87542,563,155.492,11,N,201812,2.875,1.127,31,87542,563,155.4920071048,87542.0000000024,87555.8385134782
6171000,115,159,712,90,563,0.16,11,N,201812,2.875,1.127,12,90,563,0.1598579041,90.0000000083,95.3568439344
5610000,105,1316944,681,65,313,0.208,11,N,201809,1.291,1.742,262,65,313,0.2076677316,64.9999999908,274.7809150519
5610000,105,1316944,688,3,313,0.01,11,N,201809,1.291,1.742,193,3,313,0.0095846645,2.9999999885,157.5332694801
5610000,105,1316944,689,1,313,0.003,11,N,201809,1.291,1.742,89,1,313,0.0031948882,1.0000000066,72.2614558862
5610000,105,1316944,692,96,313,0.307,11,N,201809,1.291,1.742,86,96,313,0.3067092652,96.0000000076,164.8593843406
5610000,105,1316944,693,21,313,0.067,11,N,201809,1.291,1.742,102,21,313,0.0670926518,21.0000000134,102.6704325945
5610000,105,1316944,695,6,313,0.019,11,N,201809,1.291,1.742,39,6,313,0.0191693291,6.0000000083,37.2269301128
5610000,105,1316944,696,5,313,0.016,11,N,201809,1.291,1.742,3,5,313,0.0159744409,5.0000000017,7.4020715482
5610000,105,1316944,703,4,313,0.013,11,N,201809,1.291,1.742,12,4,313,0.0127795527,3.9999999951,13.6082861811
5610000,105,1316944,704,4,313,0.013,11,N,201809,1.291,1.742,2,4,313,0.0127795527,3.9999999951,5.6013810261
5610000,105,1316944,707,9,313,0.029,11,N,201809,1.291,1.742,3,9,313,0.0287539936,8.9999999968,11.4020715433
5610000,105,1316944,708,7,313,0.022,11,N,201809,1.291,1.742,10000,7,313,0.0223642173,7.0000000149,8013.9051550206
5610000,105,1316944,709,1,313,0.003,11,N,201809,1.291,1.742,10,1,313,0.0031948882,1.0000000066,9.0069051616
5610000,105,1316944,710,3,313,0.01,11,N,201809,1.291,1.742,1,3,313,0.0095846645,2.9999999885,3.800690504
5610000,105,1316944,711,8,313,0.026,11,N,201809,1.291,1.742,31,8,313,0.0255591054,7.9999999902,32.8214059707
5610000,105,1316944,712,1,313,0.003,11,N,201809,1.291,1.742,12,1,313,0.0031948882,1.0000000066,10.6082861926
5610000,105,1316944,681,0,313,0.208,11,N,201812,1.311,1.256,262,0,313,0,0,405.1863857374
5610000,105,1316944,688,3,313,0.01,11,N,201812,1.311,1.256,193,3,313,0.0095846645,2.9999999885,301.4769940623
5610000,105,1316944,689,1,313,0.003,11,N,201812,1.311,1.256,89,1,313,0.0031948882,1.0000000066,138.6396501235
5610000,105,1316944,692,96,313,0.307,11,N,201812,1.311,1.256,250,96,313,0.3067092652,96.0000000076,482.6282306731
