classification,cell_no,responder_id,question,adjusted_value,selection_data,cont_ratio,region,trim,period,a_weight,g_weight,l_value,sum_adjusted_value,sum_selection_data
6171000,115,159,688,123,563,0.218,11,N,201809,4.287,1.83,193,123,563
6171000,115,159,689,1,563,0.002,11,N,201809,4.287,1.83,89,1,563
6171000,115,159,695,8,563,0.014,11,N,201809,4.287,1.83,39,8,563
6171000,115,159,696,0,563,0,11,N,201809,4.287,1.83,3,0,563
6171000,115,159,703,0,563,0,11,N,201809,4.287,1.83,12,0,563
6171000,115,159,704,7,563,0.012,11,N,201809,4.287,1.83,2,7,563
6171000,115,159,707,69,563,0.123,11,N,201809,4.287,1.83,3,69,563
6171000,115,159,708,0,563,0,11,N,201809,4.287,1.83,10000,0,563
6171000,115,159,709,4,563,0.007,11,N,201809,4.287,1.83,10,4,563
6171000,115,159,710,9000,563,15.986,11,N,201809,4.287,1.83,1,9000,563
6171000,115,159,711,87542,563,155.492,11,N,201809,4.287,1.83,31,87542,563
6171000,115,159,712,90,563,0.16,11,N,201809,4.287,1.83,12,90,563
6171000,115,159,688,123,563,0.218,11,N,201812,2.875,1.127,193,123,563
6171000,115,159,689,1,563,0.002,11,N,201812,2.875,1.127,89,1,563
6171000,115,159,695,0,563,0.014,11,N,201812,2.875,1.127,39,0,563
6171000,115,159,696,0,563,0,11,N,201812,2.875,1.127,3,0,563
6171000,115,159,703,0,563,0,11,N,201812,2.875,1.127,12,0,563
6171000,115,159,704,7,563,0.012,11,N,201812,2.875,1.127,2,7,563
6171000,115,159,707,69,563,0.123,11,N,201812,2.875,1.127,3,69,563
6171000,115,159,708,0,563,0,11,N,201812,2.875,1.127,10000,0,563
6171000,115,159,709,4,563,0.007,11,N,201812,2.875,1.127,10,4,563
6171000,115,159,710,9000,563,15.986,11,N,201812,2.875,1.127,1,9000,563
6171000,115,159,711,87542,563,155.492,11,N,201812,2.875,1.127,31,87542,563
6171000,115,159,712,90,563,0.16,11,N,201812,2.875,1.127,12,90,563
5610000,105,1316944,681,65,313,0.208,11,N,201809,1.291,1.742,262,65,313
5610000,105,1316944,688,3,313,0.01,11,N,201809,1.291,1.742,193,3,313
5610000,105,1316944,689,1,313,0.003,11,N,201809,1.291,1.742,89,1,313
5610000,105,1316944,692,96,313,0.307,11,N,201809,1.291,1.742,86,96,313
